,/topic/x,/topic/y,/topic/z
1604580300.53,-0.185161236577,-0.342574884946,0.0549928896856
1604580300.54,-0.188263492267,-0.34276352731,0.0549362909722
1604580300.55,-0.188263492267,-0.34276352731,0.0549362909722
1604580300.56,-0.191874152572,-0.33473152015,0.0539705838028
1604580300.57,-0.188263492267,-0.34276352731,0.0549362909722
1604580300.58,-0.185698857658,-0.334830797964,0.0571412658578
1604580300.59,-0.185698857658,-0.334830797964,0.0571412658578
1604580300.6,-0.191874891349,-0.334731565074,0.0539705703243
1604580300.61,-0.191901704054,-0.335207981448,0.0570280988077
1604580300.62,-0.185698857658,-0.334830797964,0.0571412658578
1604580300.63,-0.188759448474,-0.334542120821,0.0540274096296
1604580300.65,-0.185698857658,-0.334830797964,0.0571412658578
1604580300.66,-0.188786261179,-0.335018537195,0.057084938113
1604580300.67,-0.185698857658,-0.334830797964,0.0571412658578
1604580300.68,-0.191901704054,-0.335207981448,0.0570280988077
1604580300.69,-0.185698857658,-0.334830797964,0.0571412658578
1604580300.7,-0.188786261179,-0.335018537195,0.057084938113
1604580300.71,-0.191901704054,-0.335207981448,0.0570280988077
1604580300.72,-0.191900965277,-0.335207936524,0.0570281122862
1604580300.73,-0.188786261179,-0.335018537195,0.057084938113
1604580300.74,-0.191392843193,-0.342953817285,0.0548791979232
1604580300.75,-0.191901704054,-0.335207981448,0.0570280988077
1604580300.76,-0.188786261179,-0.335018537195,0.057084938113
1604580300.77,-0.191901704054,-0.335207981448,0.0570280988077
1604580300.78,-0.185698857658,-0.334830797964,0.0571412658578
1604580300.79,-0.191396472725,-0.34295403799,0.0548791317047
1604580300.8,-0.185698857658,-0.334830797964,0.0571412658578
1604580300.81,-0.185698857658,-0.334830797964,0.0571412658578
1604580300.82,-0.191901704054,-0.335207981448,0.0570280988077
1604580300.83,-0.185698857658,-0.334830797964,0.0571412658578
1604580300.84,-0.188786261179,-0.335018537195,0.057084938113
1604580300.86,-0.188786261179,-0.335018537195,0.057084938113
1604580300.87,-0.188759448474,-0.334542120821,0.0540274096296
1604580300.88,-0.185698857658,-0.334830797964,0.0571412658578
1604580300.89,-0.185698857658,-0.334830797964,0.0571412658578
1604580300.9,-0.185698857658,-0.334830797964,0.0571412658578
1604580300.91,-0.186511069839,-0.335113499442,0.0571319057631
1604580300.92,-0.186511069839,-0.335113499442,0.0571319057631
1604580300.93,-0.189084651202,-0.343044051004,0.0549295228049
1604580300.94,-0.190217534667,-0.33528781079,0.0569357020441
1604580300.95,-0.190217534667,-0.33528781079,0.0569357020441
1604580300.96,-0.193333243119,-0.335471733615,0.0568753913687
1604580300.97,-0.192914845895,-0.334722392047,0.0539150277915
1604580300.98,-0.189826531216,-0.335014542943,0.0570292269418
1604580300.99,-0.193022538861,-0.336236320386,0.0565816710089
1604580301.0,-0.189906854811,-0.336050882562,0.0566385028362
1604580301.01,-0.189879447856,-0.335574324127,0.0535810017608
1604580301.02,-0.191985692306,-0.335454763215,0.0571745423097
1604580301.03,-0.201792700949,-0.336051171788,0.0569936657219
1604580301.04,-0.201792700949,-0.336051171788,0.0569936657219
1604580301.05,-0.202585219229,-0.336239554201,0.0569918175671
1604580301.06,-0.205852358044,-0.336435021748,0.0569293910489
1604580301.08,-0.205858878588,-0.336435411862,0.0569292664583
1604580301.09,-0.199265975863,-0.335735236279,0.0566767751715
1604580301.1,-0.20580438521,-0.336125964087,0.0565555886387
1604580301.11,-0.20252865991,-0.335930210518,0.056616302762
1604580301.12,-0.189964077727,-0.334926371639,0.0569918725839
1604580301.13,-0.189964077727,-0.334926371639,0.0569918725839
1604580301.14,-0.199704585902,-0.335503302909,0.0568094557556
1604580301.15,-0.18014266009,-0.334742903467,0.0573758257273
1604580301.16,-0.189377736553,-0.334823999852,0.0541482431463
1604580301.17,-0.192622137582,-0.335691423583,0.0567904573481
1604580301.18,-0.192622137582,-0.335691423583,0.0567904573481
1604580301.19,-0.192622137582,-0.335691423583,0.0567904573481
1604580301.2,-0.199798762425,-0.335449440755,0.0565603213173
1604580301.21,-0.203455452355,-0.327891255811,0.0586585429277
1604580301.22,-0.206836399012,-0.328090883742,0.0585971635626
1604580301.23,-0.209647952291,-0.328301490699,0.0555232376342
1604580301.24,-0.209645196205,-0.328301326852,0.0555232888301
1604580301.25,-0.232751689771,-0.329201030813,0.0520509618562
1604580301.26,-0.233954303927,-0.322181893462,0.0573232655384
1604580301.27,-0.247592226102,-0.314747666826,0.0562180169516
1604580301.28,-0.261990793572,-0.306193614992,0.0427989102335
1604580301.29,-0.271874005567,-0.291262998757,0.0471534825531
1604580301.3,-0.27514300341,-0.28466811628,0.0490769511535
1604580301.32,-0.290168775693,-0.284219842913,0.0434297634465
1604580301.33,-0.302989291561,-0.277237946978,0.0454902395866
1604580301.34,-0.302787712621,-0.2704391837,0.0474975241218
1604580301.35,-0.316824507001,-0.256943162534,0.048428101489
1604580301.36,-0.338225709054,-0.258194624529,0.0480501646114
1604580301.37,-0.341195384109,-0.251583955852,0.05001266128
1604580301.38,-0.34369035169,-0.251352667229,0.0499281546143
1604580301.39,-0.368303290803,-0.252808041824,0.0494656614058
1604580301.4,-0.370711041569,-0.237969073288,0.0508825937742
1604580301.41,-0.376413643619,-0.231319528963,0.0525535556495
1604580301.42,-0.390984267629,-0.224523790318,0.0486229276678
1604580301.43,-0.402993248499,-0.22388241903,0.0457264547445
1604580301.44,-0.403110649674,-0.217558580752,0.0506270114623
1604580301.45,-0.405614836726,-0.210492122407,0.0498311589304
1604580301.46,-0.404768074318,-0.21126368125,0.0528623735941
1604580301.47,-0.407473479702,-0.210988305023,0.0499956901984
1604580301.48,-0.413397916723,-0.210907063049,0.0470631913181
1604580301.49,-0.40743493167,-0.205438785749,0.0513290105099
1604580301.5,-0.40752630161,-0.210809961742,0.0467350017524
1604580301.51,-0.407388306984,-0.205435980607,0.0513299159569
1604580301.52,-0.404327990368,-0.203984221565,0.0431920787031
1604580301.54,-0.401288207745,-0.203801034203,0.0432527491138
1604580301.55,-0.389054528692,-0.195859844628,0.042823244527
1604580301.56,-0.379905881115,-0.195230368495,0.0430969178635
1604580301.57,-0.367974385917,-0.194945745676,0.0461256634487
1604580301.58,-0.34942821383,-0.180825307064,0.0476616353266
1604580301.59,-0.34154538341,-0.174425583546,0.0498343738577
1604580301.6,-0.317877817539,-0.172601755484,0.0475072259148
1604580301.61,-0.311481495288,-0.164713571613,0.0497819026287
1604580301.62,-0.305329118916,-0.164344245057,0.0499018023454
1604580301.63,-0.285056587185,-0.157328890078,0.0521299704984
1604580301.64,-0.285202852128,-0.152360364165,0.0507152204529
1604580301.65,-0.276535800517,-0.152266884804,0.0535829228734
1604580301.66,-0.265162610053,-0.144404258296,0.0532128002287
1604580301.67,-0.250926462289,-0.143132754852,0.0538542210356
1604580301.68,-0.250847187793,-0.142707768352,0.0511526601317
1604580301.69,-0.242459452668,-0.13641667968,0.053161491607
1604580301.7,-0.0541323495052,-0.178329841707,0.106620622285
1604580301.71,-0.225237874196,-0.128874460356,0.0526536946635
1604580301.72,0.0,0.0,0.0
1604580301.73,0.0,0.0,0.0
1604580301.75,0.0,0.0,0.0
1604580301.76,0.0,0.0,0.0
1604580301.77,0.0,0.0,0.0
1604580301.78,0.0,0.0,0.0
1604580301.79,0.0,0.0,0.0
1604580301.8,0.0,0.0,0.0
1604580301.81,0.0,0.0,0.0
1604580301.82,-0.25448691442,-0.0981724436881,0.0461700789587
1604580301.83,-0.266183702905,-0.0873043623109,0.0498054471444
